Title:,Sun

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(QFM+0.4),rhol,rhos,viscosity,aH2O,chisqr
10000.00,2500.00,100.120165,1.0000000000000000,1.000000,379.324912,-1006573.083563,37.622477,-nan,-142.076678,2720.013817,-0.124,-0.000,2.661180,0.000000,-1.455,0,0.000
10000.00,2498.00,100.120067,1.0000000000000000,1.000000,379.198698,-1006920.449846,37.616900,-nan,-142.023292,2719.754523,-0.130,0.000,2.661571,0.000000,-1.453,0,0.000
10000.00,2496.00,100.119968,1.0000000000000000,1.000000,379.072395,-1007267.814976,37.611324,-nan,-141.969824,2719.495313,-0.136,-0.000,2.661963,0.000000,-1.452,0,0.000
10000.00,2494.00,100.119870,1.0000000000000000,1.000000,378.946002,-1007615.178958,37.605749,-nan,-141.916275,2719.236186,-0.143,-0.000,2.662355,0.000000,-1.450,0,0.000
10000.00,2492.00,100.119772,1.0000000000000000,1.000000,378.819520,-1007962.541795,37.600174,-nan,-141.862645,2718.977143,-0.149,-0.000,2.662748,0.000000,-1.449,0,0.000
10000.00,2490.00,100.119674,1.0000000000000000,1.000000,378.692948,-1008309.903492,37.594601,-nan,-141.808933,2718.718183,-0.156,0.000,2.663140,0.000000,-1.447,0,0.000
10000.00,2488.00,100.119576,1.0000000000000000,1.000000,378.566286,-1008657.264053,37.589028,-nan,-141.755140,2718.459306,-0.162,-0.000,2.663532,0.000000,-1.445,0,0.000
10000.00,2486.00,100.119478,1.0000000000000000,1.000000,378.439534,-1009004.623481,37.583456,-nan,-141.701266,2718.200511,-0.168,0.000,2.663924,0.000000,-1.444,0,0.000
10000.00,2484.00,100.119380,1.0000000000000000,1.000000,378.312692,-1009351.981780,37.577884,-nan,-141.647312,2717.941799,-0.175,0.000,2.664317,0.000000,-1.442,0,0.000
10000.00,2482.00,100.119282,1.0000000000000000,1.000000,378.185760,-1009699.338955,37.572313,-nan,-141.593276,2717.683168,-0.181,-0.000,2.664709,0.000000,-1.440,0,0.000
10000.00,2480.00,100.119185,1.0000000000000000,1.000000,378.058738,-1010046.695009,37.566743,-nan,-141.539159,2717.424620,-0.188,-0.000,2.665102,0.000000,-1.439,0,0.000
10000.00,2478.00,100.119088,1.0000000000000000,1.000000,377.931625,-1010394.049947,37.561174,-nan,-141.484961,2717.166152,-0.194,0.000,2.665494,0.000000,-1.437,0,0.000
10000.00,2476.00,100.118990,1.0000000000000000,1.000000,377.804422,-1010741.403772,37.555606,-nan,-141.430682,2716.907765,-0.201,-0.000,2.665887,0.000000,-1.435,0,0.000
10000.00,2474.00,100.118893,1.0000000000000000,1.000000,377.677127,-1011088.756489,37.550038,-nan,-141.376322,2716.649459,-0.207,0.000,2.666279,0.000000,-1.434,0,0.000
10000.00,2472.00,100.118796,1.0000000000000000,1.000000,377.549742,-1011436.108102,37.544471,-nan,-141.321882,2716.391233,-0.214,-0.000,2.666672,0.000000,-1.432,0,0.000
10000.00,2470.00,100.118699,1.0000000000000000,1.000000,377.422266,-1011783.458614,37.538905,-nan,-141.267360,2716.133088,-0.220,-0.000,2.667065,0.000000,-1.430,0,0.000
10000.00,2468.00,100.118602,1.0000000000000000,1.000000,377.294699,-1012130.808029,37.533339,-nan,-141.212759,2715.875022,-0.227,0.000,2.667458,0.000000,-1.429,0,0.000
10000.00,2466.00,100.118505,1.0000000000000000,1.000000,377.167040,-1012478.156353,37.527774,-nan,-141.158076,2715.617035,-0.233,-0.000,2.667851,0.000000,-1.427,0,0.000
10000.00,2464.00,100.118409,1.0000000000000000,1.000000,377.039291,-1012825.503588,37.522210,-nan,-141.103313,2715.359128,-0.240,-0.000,2.668244,0.000000,-1.425,0,0.000
10000.00,2462.00,100.118312,1.0000000000000000,1.000000,376.911449,-1013172.849739,37.516647,-nan,-141.048469,2715.101299,-0.246,0.000,2.668637,0.000000,-1.424,0,0.000
10000.00,2460.00,100.118216,1.0000000000000000,1.000000,376.783516,-1013520.194810,37.511084,-nan,-140.993545,2714.843549,-0.253,0.000,2.669030,0.000000,-1.422,0,0.000
