Title:,2M19284485+4143373

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(QFM+0.4),rhol,rhos,viscosity,aH2O,chisqr
10000.00,2500.00,100.112715,1.0000000000000000,1.000000,378.899655,-1013895.012764,37.805309,-nan,-138.031911,2706.642281,-0.124,-0.000,2.648113,0.000000,-1.411,0,0.000
10000.00,2498.00,100.112623,1.0000000000000000,1.000000,378.774013,-1014240.940619,37.799768,-nan,-137.988763,2706.370278,-0.130,0.000,2.648498,0.000000,-1.409,0,0.000
10000.00,2496.00,100.112530,1.0000000000000000,1.000000,378.648282,-1014586.867435,37.794226,-nan,-137.945529,2706.098379,-0.136,-0.000,2.648884,0.000000,-1.408,0,0.000
10000.00,2494.00,100.112438,1.0000000000000000,1.000000,378.522463,-1014932.793215,37.788686,-nan,-137.902209,2705.826585,-0.143,-0.000,2.649270,0.000000,-1.406,0,0.000
10000.00,2492.00,100.112345,1.0000000000000000,1.000000,378.396553,-1015278.717962,37.783147,-nan,-137.858802,2705.554894,-0.149,-0.000,2.649656,0.000000,-1.404,0,0.000
10000.00,2490.00,100.112253,1.0000000000000000,1.000000,378.270555,-1015624.641681,37.777608,-nan,-137.815308,2705.283307,-0.156,0.000,2.650042,0.000000,-1.402,0,0.000
10000.00,2488.00,100.112161,1.0000000000000000,1.000000,378.144467,-1015970.564375,37.772070,-nan,-137.771728,2705.011822,-0.162,-0.000,2.650428,0.000000,-1.401,0,0.000
10000.00,2486.00,100.112069,1.0000000000000000,1.000000,378.018289,-1016316.486048,37.766532,-nan,-137.728062,2704.740441,-0.168,0.000,2.650814,0.000000,-1.399,0,0.000
10000.00,2484.00,100.111977,1.0000000000000000,1.000000,377.892022,-1016662.406703,37.760996,-nan,-137.684310,2704.469162,-0.175,0.000,2.651201,0.000000,-1.397,0,0.000
10000.00,2482.00,100.111885,1.0000000000000000,1.000000,377.765665,-1017008.326344,37.755460,-nan,-137.640472,2704.197986,-0.181,-0.000,2.651587,0.000000,-1.396,0,0.000
10000.00,2480.00,100.111793,1.0000000000000000,1.000000,377.639217,-1017354.244976,37.749925,-nan,-137.596547,2703.926911,-0.188,-0.000,2.651973,0.000000,-1.394,0,0.000
10000.00,2478.00,100.111701,1.0000000000000000,1.000000,377.512680,-1017700.162600,37.744391,-nan,-137.552537,2703.655938,-0.194,0.000,2.652360,0.000000,-1.392,0,0.000
10000.00,2476.00,100.111610,1.0000000000000000,1.000000,377.386052,-1018046.079222,37.738857,-nan,-137.508440,2703.385065,-0.201,-0.000,2.652746,0.000000,-1.390,0,0.000
10000.00,2474.00,100.111518,1.0000000000000000,1.000000,377.259334,-1018391.994846,37.733325,-nan,-137.464258,2703.114294,-0.207,0.000,2.653133,0.000000,-1.389,0,0.000
10000.00,2472.00,100.111427,1.0000000000000000,1.000000,377.132525,-1018737.909474,37.727792,-nan,-137.419989,2702.843623,-0.214,-0.000,2.653519,0.000000,-1.387,0,0.000
10000.00,2470.00,100.111336,1.0000000000000000,1.000000,377.005625,-1019083.823110,37.722261,-nan,-137.375635,2702.573052,-0.220,-0.000,2.653906,0.000000,-1.385,0,0.000
10000.00,2468.00,100.111245,1.0000000000000000,1.000000,376.878635,-1019429.735759,37.716731,-nan,-137.331195,2702.302581,-0.227,0.000,2.654293,0.000000,-1.384,0,0.000
10000.00,2466.00,100.111154,1.0000000000000000,1.000000,376.751553,-1019775.647424,37.711201,-nan,-137.286670,2702.032210,-0.233,-0.000,2.654680,0.000000,-1.382,0,0.000
