Title:,HD11964A

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(QFM+0.4),rhol,rhos,viscosity,aH2O,chisqr
10000.00,2500.00,100.123274,1.0000000000000000,1.000000,380.610115,-1001009.823375,37.321922,-nan,-145.496145,2774.702140,-0.124,-0.000,2.682693,0.000000,-1.541,0,0.000
10000.00,2498.00,100.123172,1.0000000000000000,1.000000,380.482304,-1001361.524942,37.316232,-nan,-145.424188,2774.479627,-0.130,0.000,2.683100,0.000000,-1.539,0,0.000
10000.00,2496.00,100.123071,1.0000000000000000,1.000000,380.354403,-1001713.225271,37.310543,-nan,-145.352162,2774.257153,-0.136,-0.000,2.683506,0.000000,-1.538,0,0.000
10000.00,2494.00,100.122970,1.0000000000000000,1.000000,380.226411,-1002064.924367,37.304855,-nan,-145.280069,2774.034719,-0.143,-0.000,2.683913,0.000000,-1.536,0,0.000
10000.00,2492.00,100.122870,1.0000000000000000,1.000000,380.098328,-1002416.622234,37.299167,-nan,-145.207909,2773.812325,-0.149,-0.000,2.684319,0.000000,-1.535,0,0.000
10000.00,2490.00,100.122769,1.0000000000000000,1.000000,379.970154,-1002768.318876,37.293480,-nan,-145.135680,2773.589971,-0.156,0.000,2.684726,0.000000,-1.533,0,0.000
10000.00,2488.00,100.122668,1.0000000000000000,1.000000,379.841890,-1003120.014297,37.287794,-nan,-145.063384,2773.367656,-0.162,-0.000,2.685133,0.000000,-1.532,0,0.000
10000.00,2486.00,100.122568,1.0000000000000000,1.000000,379.713535,-1003471.708501,37.282108,-nan,-144.991020,2773.145379,-0.168,0.000,2.685539,0.000000,-1.530,0,0.000
10000.00,2484.00,100.122467,1.0000000000000000,1.000000,379.585088,-1003823.401493,37.276423,-nan,-144.918589,2772.923142,-0.175,0.000,2.685946,0.000000,-1.529,0,0.000
10000.00,2482.00,100.122367,1.0000000000000000,1.000000,379.456551,-1004175.093277,37.270738,-nan,-144.846090,2772.700942,-0.181,-0.000,2.686353,0.000000,-1.527,0,0.000
10000.00,2480.00,100.122267,1.0000000000000000,1.000000,379.327921,-1004526.783856,37.265055,-nan,-144.773523,2772.478781,-0.188,-0.000,2.686760,0.000000,-1.525,0,0.000
10000.00,2478.00,100.122167,1.0000000000000000,1.000000,379.199201,-1004878.473236,37.259372,-nan,-144.700889,2772.256658,-0.194,0.000,2.687167,0.000000,-1.524,0,0.000
10000.00,2476.00,100.122067,1.0000000000000000,1.000000,379.070388,-1005230.161421,37.253689,-nan,-144.628187,2772.034573,-0.201,-0.000,2.687575,0.000000,-1.522,0,0.000
10000.00,2474.00,100.121967,1.0000000000000000,1.000000,378.941484,-1005581.848414,37.248008,-nan,-144.555417,2771.812525,-0.207,0.000,2.687982,0.000000,-1.521,0,0.000
10000.00,2472.00,100.121868,1.0000000000000000,1.000000,378.812488,-1005933.534220,37.242327,-nan,-144.482581,2771.590515,-0.214,-0.000,2.688389,0.000000,-1.519,0,0.000
10000.00,2470.00,100.121768,1.0000000000000000,1.000000,378.683399,-1006285.218844,37.236647,-nan,-144.409676,2771.368541,-0.220,-0.000,2.688797,0.000000,-1.518,0,0.000
10000.00,2468.00,100.121669,1.0000000000000000,1.000000,378.554219,-1006636.902289,37.230967,-nan,-144.336704,2771.146604,-0.227,0.000,2.689204,0.000000,-1.516,0,0.000
10000.00,2466.00,100.121569,1.0000000000000000,1.000000,378.424946,-1006988.584560,37.225288,-nan,-144.263665,2770.924704,-0.233,-0.000,2.689612,0.000000,-1.515,0,0.000
10000.00,2464.00,100.121470,1.0000000000000000,1.000000,378.295580,-1007340.265660,37.219610,-nan,-144.190558,2770.702840,-0.240,-0.000,2.690019,0.000000,-1.513,0,0.000
