Title:,HD222335

System,Thermodynamic,Data:
Pressure,Temperature,mass,F,phi,S,H,V,Cp,dVdP*10^6,dVdT*10^6,fO2(absolute),fO2-(QFM+0.4),rhol,rhos,viscosity,aH2O,chisqr
10000.00,2500.00,100.122848,1.0000000000000000,1.000000,380.164467,-1002214.003595,37.409829,-nan,-144.920310,2759.276609,-0.124,-0.000,2.676378,0.000000,-1.515,0,0.000
10000.00,2498.00,100.122747,1.0000000000000000,1.000000,380.037208,-1002564.195571,37.404171,-nan,-144.853413,2759.043029,-0.130,0.000,2.676780,0.000000,-1.514,0,0.000
10000.00,2496.00,100.122646,1.0000000000000000,1.000000,379.909859,-1002914.386328,37.398513,-nan,-144.786445,2758.809501,-0.136,-0.000,2.677183,0.000000,-1.512,0,0.000
10000.00,2494.00,100.122546,1.0000000000000000,1.000000,379.782420,-1003264.575869,37.392857,-nan,-144.719405,2758.576024,-0.143,-0.000,2.677585,0.000000,-1.511,0,0.000
10000.00,2492.00,100.122445,1.0000000000000000,1.000000,379.654891,-1003614.764200,37.387200,-nan,-144.652293,2758.342599,-0.149,-0.000,2.677987,0.000000,-1.509,0,0.000
10000.00,2490.00,100.122345,1.0000000000000000,1.000000,379.527271,-1003964.951323,37.381545,-nan,-144.585109,2758.109226,-0.156,0.000,2.678390,0.000000,-1.507,0,0.000
10000.00,2488.00,100.122245,1.0000000000000000,1.000000,379.399561,-1004315.137243,37.375890,-nan,-144.517854,2757.875903,-0.162,-0.000,2.678792,0.000000,-1.506,0,0.000
10000.00,2486.00,100.122145,1.0000000000000000,1.000000,379.271760,-1004665.321964,37.370236,-nan,-144.450527,2757.642631,-0.168,0.000,2.679195,0.000000,-1.504,0,0.000
10000.00,2484.00,100.122045,1.0000000000000000,1.000000,379.143868,-1005015.505491,37.364583,-nan,-144.383128,2757.409409,-0.175,0.000,2.679598,0.000000,-1.503,0,0.000
10000.00,2482.00,100.121945,1.0000000000000000,1.000000,379.015886,-1005365.687827,37.358930,-nan,-144.315658,2757.176238,-0.181,-0.000,2.680000,0.000000,-1.501,0,0.000
10000.00,2480.00,100.121846,1.0000000000000000,1.000000,378.887812,-1005715.868977,37.353278,-nan,-144.248117,2756.943116,-0.188,-0.000,2.680403,0.000000,-1.500,0,0.000
10000.00,2478.00,100.121746,1.0000000000000000,1.000000,378.759647,-1006066.048945,37.347627,-nan,-144.180504,2756.710044,-0.194,0.000,2.680806,0.000000,-1.498,0,0.000
10000.00,2476.00,100.121647,1.0000000000000000,1.000000,378.631391,-1006416.227735,37.341976,-nan,-144.112819,2756.477022,-0.201,-0.000,2.681209,0.000000,-1.496,0,0.000
10000.00,2474.00,100.121547,1.0000000000000000,1.000000,378.503044,-1006766.405351,37.336326,-nan,-144.045063,2756.244048,-0.207,0.000,2.681612,0.000000,-1.495,0,0.000
10000.00,2472.00,100.121448,1.0000000000000000,1.000000,378.374605,-1007116.581797,37.330677,-nan,-143.977235,2756.011124,-0.214,-0.000,2.682015,0.000000,-1.493,0,0.000
10000.00,2470.00,100.121349,1.0000000000000000,1.000000,378.246074,-1007466.757078,37.325029,-nan,-143.909336,2755.778248,-0.220,-0.000,2.682419,0.000000,-1.492,0,0.000
10000.00,2468.00,100.121250,1.0000000000000000,1.000000,378.117451,-1007816.931198,37.319381,-nan,-143.841366,2755.545420,-0.227,0.000,2.682822,0.000000,-1.490,0,0.000
10000.00,2466.00,100.121151,1.0000000000000000,1.000000,377.988737,-1008167.104161,37.313734,-nan,-143.773324,2755.312640,-0.233,-0.000,2.683225,0.000000,-1.488,0,0.000
10000.00,2464.00,100.121052,1.0000000000000000,1.000000,377.859930,-1008517.275971,37.308087,-nan,-143.705212,2755.079908,-0.240,-0.000,2.683629,0.000000,-1.487,0,0.000
10000.00,2462.00,100.120953,1.0000000000000000,1.000000,377.731031,-1008867.446633,37.302441,-nan,-143.637027,2754.847224,-0.246,0.000,2.684032,0.000000,-1.485,0,0.000
10000.00,2460.00,100.120855,1.0000000000000000,1.000000,377.602040,-1009217.616150,37.296796,-nan,-143.568772,2754.614587,-0.253,0.000,2.684436,0.000000,-1.484,0,0.000
10000.00,2458.00,100.120756,1.0000000000000000,1.000000,377.472956,-1009567.784528,37.291152,-nan,-143.500445,2754.381997,-0.259,0.000,2.684839,0.000000,-1.482,0,0.000
